year,species,rtype,run,JSR_actual_table1,JSR_forecast_table2,JSR_actual_table2,DART_BON_count
1985,Chinook,all,Spring,,52600,84700,83182
1986,Chinook,all,Spring,,115000,120600,118082
1987,Chinook,all,Spring,,79700,99800,98573
1988,Chinook,all,Spring,,53400,97000,90532
1989,Chinook,all,Spring,,92700,82600,81267
1990,Chinook,all,Spring,105715,120800,99100,94158
1991,Chinook,all,Spring,64479,61900,59200,57339
1992,Chinook,all,Spring,95691,71400,89800,88425
1993,Chinook,all,Spring,119963,76200,111000,110820
1994,Chinook,all,Spring,24095,49000,20800,20169
1995,Chinook,all,Spring,12792,12000,9800,10192
1996,Chinook,all,Spring,55551,37200,51500,51492
1997,Chinook,all,Spring,124321,67800,114000,114000
1998,Chinook,all,Spring,44308,36200,38300,38342
1999,Chinook,all,Spring,43067,24600,38700,38669
2000,Chinook,all,Spring,186715,134000,178600,178302
2001,Chinook,all,Spring,439885,364600,416500,391367
2002,Chinook,all,Spring,335306,333700,295100,268813
2003,Chinook,all,Spring,242605,145400,208900,195770
2004,Chinook,all,Spring,221675,360700,193400,170308
2005,Chinook,all,Spring,106910,254100,106900,97397
2006,Chinook,all,Spring,132583,88400,132600,126158
2007,Chinook,all,Spring,86247,78500,86200,80829
2008,Chinook,all,Spring,178627,269300,178600,151893
2009,Chinook,all,Spring,169296,298900,169300,147489
2010,Chinook,all,Spring,315346,470000,315300,277390
2011,Chinook,all,Spring,221158,198400,221200,205431
2012,Chinook,all,Spring,203090,314200,203100,186448
2013,Chinook,all,Spring,123136,141400,123100,112934
2014,Chinook,all,Spring,242635,227000,242600,224946
2015,Chinook,all,Spring,288994,232500,289000,265558
2016,Chinook,all,Spring,187816,188800,187800,172614
2017,Chinook,all,Spring,115821,160400,115800,107524
2018,Chinook,all,Spring,115081,166700,115100,108045
2019,Chinook,all,Spring,73101,99300,73100,71235
2020,Chinook,all,Spring,81300,81700,81300,79714
2021,Chinook,all,Spring,91756,75200,91800,87233
